N,P,K,pH,Moisture,Fertility
31.82,3.38,26.8,4.28,24.25,Low
30.0,16.0,30.77,6.33,63.3,Medium
23.69,8.47,11.56,5.55,25.0,Low
52.2,39.28,24.9,5.81,46.65,Medium
60.41,38.11,29.23,6.52,46.06,Medium
93.98,65.41,56.16,6.95,65.31,High
43.66,36.13,15.71,6.45,67.88,Medium
60.82,37.09,45.74,6.21,42.82,Medium
61.0,16.64,31.77,6.9,68.95,Medium
73.49,49.0,57.22,6.39,60.47,High
76.52,48.11,57.0,7.25,88.1,High
80.0,30.01,31.58,5.88,60.23,Medium
86.62,46.48,30.0,6.68,45.0,High
88.76,81.54,67.34,6.85,68.99,High
13.72,4.9,12.26,5.42,27.8,Low
18.53,15.06,14.13,4.64,22.26,Low
62.05,28.18,19.35,6.51,67.1,Medium
30.38,37.78,34.19,6.21,37.25,Medium
54.49,33.96,31.38,6.2,66.21,Medium
