soil_moisture,temperature,humidity,ph,rainfall_mm,ET0,ETc,vpd_proxy,depletion,crop_type_enc,growth_stage_enc,irrigation_label
49.0,26.34,4.81,7.2,114.0,0.5,0.44,25.073,21.56,6,1,1
29.0,18.13,15.96,5.84,110.97,0.5,0.661,15.236,42.93,8,3,2
56.0,18.61,21.54,6.88,49.12,0.5,0.44,14.601,31.94,6,1,1
13.0,21.11,17.32,6.39,65.9,0.5,0.489,17.454,70.57,8,2,4
90.0,26.66,6.38,7.36,115.2,0.5,0.6,24.959,0.0,1,0,0
53.0,24.11,10.78,7.32,45.43,0.5,0.69,21.511,36.56,5,3,1
30.0,32.6,1.0,7.03,69.69,0.5,0.45,32.274,52.46,0,0,3
49.0,31.26,5.36,6.82,46.87,0.5,0.632,29.584,40.03,6,3,2
64.0,23.82,11.68,6.73,78.58,0.5,0.42,21.038,16.0,2,1,1
80.0,30.73,5.44,6.24,49.49,0.5,0.446,29.058,7.86,2,2,0
25.0,22.36,21.44,5.79,60.92,0.5,0.575,17.566,60.12,8,0,3
48.0,34.37,3.37,5.18,148.25,0.5,0.575,33.212,13.73,3,0,1
84.0,33.34,3.16,4.68,163.27,0.5,0.69,32.286,0.0,5,3,0
15.0,30.2,5.5,6.79,80.36,0.5,0.46,28.539,64.62,8,1,3
19.0,20.02,45.86,6.34,221.21,0.5,0.661,10.839,23.4,8,3,1
20.0,25.22,8.02,6.75,48.78,0.5,0.46,23.197,68.08,3,1,3
58.0,29.31,6.14,6.42,84.63,0.5,0.42,27.51,20.38,7,1,1
37.0,17.5,29.07,6.27,21.18,0.5,0.468,12.413,58.5,6,2,2
51.0,19.66,23.45,6.0,22.22,0.5,0.42,15.05,44.1,4,1,1
15.0,33.78,6.54,6.03,171.7,0.5,0.468,31.571,40.18,6,2,2
32.0,13.97,32.71,6.97,164.5,0.5,0.525,9.4,25.25,4,0,1
36.0,31.92,5.12,5.64,161.48,0.5,0.489,30.286,21.97,3,2,1
20.0,17.2,30.28,7.12,189.97,0.5,0.46,11.992,30.26,8,1,2
55.0,31.92,3.05,7.83,115.77,0.5,0.525,30.946,15.3,4,0,1
17.0,25.13,11.08,6.9,108.68,0.5,0.42,22.346,54.94,7,1,3
12.0,21.33,20.92,5.95,122.39,0.5,0.69,16.868,56.94,1,3,3
10.0,27.38,13.09,6.65,75.58,0.5,0.45,23.796,70.88,0,0,4
1.0,18.54,22.4,6.21,91.89,0.5,0.446,14.387,75.5,7,2,4
21.0,22.41,17.83,5.84,93.37,0.5,0.661,18.414,55.64,3,3,3
67.0,29.59,3.03,6.63,102.94,0.5,0.44,28.693,6.53,6,1,0
18.0,20.52,22.51,7.32,150.25,0.5,0.42,15.901,42.8,2,1,2
46.0,32.65,0.86,6.8,63.52,0.5,0.48,32.369,38.19,5,1,2
5.0,30.84,1.1,6.53,66.69,0.5,0.468,30.501,78.31,6,2,4
90.0,20.91,11.66,6.52,79.27,0.5,0.48,18.472,0.0,5,1,0
35.0,26.29,14.93,6.46,78.07,0.5,0.489,22.365,45.31,3,2,2
50.0,29.8,4.51,5.72,92.78,0.5,0.575,28.456,26.59,3,0,1
41.0,30.67,3.33,5.56,116.74,0.5,0.383,29.649,28.69,0,2,1
83.0,26.51,9.18,6.31,69.87,0.5,0.575,24.076,0.0,3,0,0
49.0,20.19,23.94,7.12,47.95,0.5,0.604,15.357,39.66,4,3,2
90.0,27.44,7.66,6.77,42.91,0.5,0.44,25.338,0.0,6,1,0
30.0,24.91,12.46,5.53,105.05,0.5,0.42,21.806,42.91,4,1,2
31.0,36.56,4.09,6.11,87.85,0.5,0.661,35.065,47.12,8,3,2
65.0,22.6,16.02,5.79,86.22,0.5,0.48,18.979,13.11,1,1,0
44.0,21.02,23.14,5.8,50.2,0.5,0.69,16.156,44.28,1,3,2
27.0,16.13,27.05,6.38,25.08,0.5,0.45,11.767,67.41,0,0,3
74.0,18.42,35.2,6.16,52.51,0.5,0.604,11.936,13.44,2,3,0
66.0,32.04,3.77,6.05,110.33,0.5,0.51,30.832,5.72,1,2,0
47.0,14.4,32.26,5.71,101.85,0.5,0.6,9.755,27.22,1,0,1
30.0,28.18,8.0,6.09,114.74,0.5,0.632,25.926,40.85,6,3,2
90.0,32.73,7.31,6.97,161.53,0.5,0.36,30.337,0.0,0,1,0
28.0,21.07,11.2,6.73,54.02,0.5,0.446,18.71,58.65,7,2,3
69.0,18.03,15.74,5.54,184.76,0.5,0.446,15.192,0.0,7,2,0
81.0,32.99,2.55,7.22,69.29,0.5,0.661,32.149,2.09,8,3,0
25.0,24.59,11.5,6.35,48.99,0.5,0.604,21.762,63.39,7,3,3
65.0,34.37,1.9,7.6,69.76,0.5,0.46,33.717,17.47,8,1,1
52.0,30.71,3.4,6.23,110.98,0.5,0.48,29.666,19.47,1,1,1
85.0,27.88,11.15,6.9,86.05,0.5,0.604,24.771,0.0,7,3,0
68.0,20.93,37.33,5.95,224.56,0.5,0.46,13.117,0.0,3,1,0
48.0,34.41,1.92,7.71,71.51,0.5,0.446,33.749,33.96,2,2,2
56.0,26.66,6.04,7.37,100.79,0.5,0.69,25.05,18.73,1,3,1
9.0,18.89,21.66,4.93,91.55,0.5,0.446,14.798,67.59,7,2,3
35.0,33.74,3.44,6.46,108.4,0.5,0.51,32.579,37.24,1,2,2
8.0,21.4,10.95,6.68,163.91,0.5,0.489,19.057,49.32,8,2,2
78.0,21.94,14.54,5.91,90.4,0.5,0.45,18.75,0.0,0,0,0
9.0,31.79,4.05,5.91,112.4,0.5,0.383,30.503,61.85,0,2,3
34.0,22.86,18.97,4.56,98.01,0.5,0.632,18.523,41.33,6,3,2
61.0,27.7,7.65,6.11,116.7,0.5,0.69,25.581,9.47,1,3,1
33.0,16.42,21.37,5.69,74.54,0.5,0.604,12.911,48.54,2,3,2
66.0,17.26,19.94,6.58,48.94,0.5,0.517,13.818,22.19,0,3,1
85.0,20.19,13.74,5.87,132.15,0.5,0.44,17.416,0.0,6,1,0
44.0,35.37,5.56,6.49,64.41,0.5,0.489,33.403,39.97,8,2,2
5.0,30.84,1.1,6.53,66.69,0.5,0.42,30.501,78.19,2,1,4
51.0,34.46,3.87,8.75,81.99,0.5,0.42,33.126,28.09,4,1,1
17.0,20.49,22.91,6.03,189.43,0.5,0.48,15.796,33.46,1,1,2
72.0,29.6,5.35,6.33,209.54,0.5,0.604,28.016,0.0,4,3,0
37.0,19.02,31.01,7.24,191.95,0.5,0.468,13.122,12.75,6,2,1
42.0,21.46,20.61,5.81,61.14,0.5,0.51,17.037,42.9,5,2,2
59.0,32.17,0.7,7.73,70.41,0.5,0.525,31.945,23.45,7,0,1
12.0,22.51,18.55,6.81,90.14,0.5,0.604,18.334,65.36,7,3,3
12.0,33.57,2.5,7.75,66.64,0.5,0.604,32.731,71.66,7,3,4
78.0,32.25,0.86,7.34,63.47,0.5,0.446,31.973,6.12,2,2,0
4.0,29.74,6.24,5.6,118.6,0.5,0.51,27.884,65.51,1,2,3
31.0,19.88,26.06,6.18,184.98,0.5,0.468,14.699,20.62,6,2,1
77.0,32.84,7.43,7.46,177.32,0.5,0.446,30.4,0.0,7,2,0
27.0,21.28,20.92,5.61,139.03,0.5,0.48,16.828,36.96,1,1,2
2.0,30.98,5.4,8.4,36.93,0.5,0.604,29.307,89.62,2,3,4
48.0,19.69,11.91,6.71,234.5,0.5,0.604,17.345,0.0,4,3,1
39.0,20.41,41.71,7.04,231.09,0.5,0.36,11.897,0.0,0,1,1
50.0,20.46,22.33,5.95,113.33,0.5,0.6,15.891,21.14,5,0,1
37.0,18.44,24.78,7.49,175.73,0.5,0.42,13.871,16.98,7,1,1
55.0,31.57,1.16,7.42,71.16,0.5,0.517,31.204,27.23,0,3,1
88.0,33.06,2.74,6.57,68.02,0.5,0.6,32.154,0.0,5,0,0
28.0,20.39,13.5,6.68,135.17,0.5,0.42,17.637,36.84,4,1,2
55.0,31.8,3.7,7.04,67.15,0.5,0.525,30.623,28.33,4,0,1
16.0,32.66,3.4,5.17,109.18,0.5,0.48,31.55,55.95,1,1,3
31.0,20.6,21.58,6.18,169.12,0.5,0.51,16.155,24.98,5,2,1
86.0,18.51,28.4,6.26,46.48,0.5,0.48,13.253,2.75,5,1,0
79.0,24.01,11.06,6.3,44.08,0.5,0.51,21.354,10.47,5,2,0
72.0,29.6,5.35,6.33,209.54,0.5,0.517,28.016,0.0,0,3,0
56.0,22.35,18.97,5.75,143.76,0.5,0.575,18.11,6.93,8,0,1
42.0,24.68,11.01,6.39,89.86,0.5,0.69,21.963,35.66,5,3,2
58.0,35.48,4.22,6.66,107.24,0.5,0.42,33.983,14.33,7,1,1
77.0,16.66,30.06,6.16,112.31,0.5,0.517,11.652,0.0,0,3,0
14.0,18.1,43.17,7.64,49.55,0.5,0.468,10.286,73.9,6,2,4
46.0,15.29,33.04,6.86,183.41,0.5,0.45,10.238,6.0,0,0,1
35.0,16.76,19.88,6.42,41.39,0.5,0.489,13.428,55.14,8,2,2
73.0,38.02,3.65,6.44,62.5,0.5,0.55,36.632,11.63,6,0,0
61.0,27.7,7.65,6.11,116.7,0.5,0.661,25.581,9.39,3,3,1
8.0,21.79,16.42,5.69,70.68,0.5,0.42,18.212,74.12,2,1,4
78.0,21.94,14.54,5.91,90.4,0.5,0.44,18.75,0.0,6,1,0
25.0,28.08,8.49,7.44,78.82,0.5,0.575,25.696,55.32,3,0,3
55.0,27.23,6.93,3.71,72.67,0.5,0.446,25.343,26.65,7,2,1
14.0,25.78,9.24,6.44,61.95,0.5,0.525,23.398,70.72,7,0,4
42.0,30.47,5.78,7.06,110.09,0.5,0.46,28.709,29.66,3,1,1
54.0,31.97,1.19,7.04,62.32,0.5,0.517,31.59,30.6,0,3,1
20.0,27.97,8.97,5.88,53.39,0.5,0.48,25.461,66.9,1,1,3
58.0,21.12,22.58,6.9,200.83,0.5,0.36,16.351,0.0,0,1,1
19.0,23.0,16.45,8.18,64.59,0.5,0.446,19.216,64.82,2,2,3
78.0,30.22,5.04,6.32,225.63,0.5,0.46,28.697,0.0,3,1,0
22.0,30.98,2.08,7.42,102.19,0.5,0.446,30.336,51.74,2,2,3
41.0,30.55,5.78,8.15,32.05,0.5,0.42,28.784,51.47,2,1,2
65.0,33.67,3.6,6.12,155.37,0.5,0.383,32.458,0.0,0,2,0
8.0,21.4,10.95,6.68,163.91,0.5,0.48,19.057,49.3,5,1,2
88.0,33.86,1.1,7.7,72.43,0.5,0.69,33.488,0.0,1,3,0
61.0,32.16,3.86,8.1,72.95,0.5,0.46,30.919,20.61,8,1,1
31.0,18.06,29.96,5.77,126.73,0.5,0.383,12.649,36.01,0,2,2
28.0,29.28,2.9,6.45,105.34,0.5,0.575,28.431,45.22,3,0,2
84.0,27.42,8.8,6.4,113.12,0.5,0.42,25.007,0.0,4,1,0
12.0,14.17,31.52,5.8,119.1,0.5,0.604,9.704,57.61,7,3,3
53.0,33.11,2.53,7.55,64.56,0.5,0.51,32.272,30.98,5,2,1
70.0,18.22,27.7,5.59,66.97,0.5,0.604,13.173,13.57,7,3,0
64.0,34.07,3.52,7.98,74.59,0.5,0.44,32.871,17.12,6,1,1
83.0,14.24,33.16,7.24,144.69,0.5,0.51,9.518,0.0,5,2,0
45.0,30.62,3.66,5.52,113.98,0.5,0.69,29.499,26.2,5,3,1
12.0,18.13,18.47,5.8,66.03,0.5,0.45,14.781,71.44,0,0,4
43.0,17.64,49.85,7.39,37.11,0.5,0.604,8.846,48.57,7,3,2
3.0,32.76,1.5,7.78,68.92,0.5,0.661,32.269,80.19,3,3,4
16.0,20.67,18.78,6.95,98.29,0.5,0.525,16.788,58.99,2,0,3
20.0,25.22,8.02,6.75,48.78,0.5,0.632,23.197,68.52,6,3,3
56.0,26.66,6.04,7.37,100.79,0.5,0.632,25.05,18.58,6,3,1
63.0,25.94,9.38,7.52,62.51,0.5,0.383,23.507,21.21,0,2,1
2.0,21.3,32.42,5.07,231.38,0.5,0.6,14.395,37.52,5,0,2
69.0,18.76,19.27,6.57,102.8,0.5,0.42,15.145,4.51,4,1,0
80.0,35.24,3.98,6.33,74.52,0.5,0.632,33.837,1.62,6,3,0
84.0,18.71,25.25,7.21,196.47,0.5,0.383,13.986,0.0,0,2,0
56.0,27.58,7.08,6.05,157.76,0.5,0.525,25.627,3.06,4,0,1
70.0,27.61,6.41,6.46,32.77,0.5,0.48,25.84,22.42,1,1,1
45.0,27.28,11.72,6.01,77.55,0.5,0.69,24.083,35.95,1,3,2
58.0,30.96,4.24,6.13,76.58,0.5,0.42,29.647,22.54,7,1,1
78.0,30.22,5.04,6.32,225.63,0.5,0.51,28.697,0.0,1,2,0
62.0,20.63,11.96,6.91,87.53,0.5,0.468,18.163,15.72,6,2,1
4.0,31.33,5.32,6.93,41.88,0.5,0.489,29.663,86.01,8,2,4
12.0,22.8,16.25,6.04,29.87,0.5,0.51,19.095,81.27,5,2,4
13.0,18.97,19.9,6.29,71.63,0.5,0.517,15.195,69.11,0,3,3
29.0,30.59,4.77,6.7,46.05,0.5,0.489,29.131,59.89,8,2,3
8.0,31.76,3.31,6.81,72.5,0.5,0.661,30.709,74.23,8,3,4
57.0,17.14,30.21,7.0,177.22,0.5,0.42,11.962,0.0,7,1,1
90.0,24.48,11.83,6.37,111.14,0.5,0.446,21.584,0.0,2,2,0
40.0,26.12,8.35,6.2,48.76,0.5,0.525,23.939,48.25,7,0,2
55.0,22.64,16.33,6.22,21.59,0.5,0.468,18.943,40.39,6,2,1
46.0,31.09,4.0,6.44,64.23,0.5,0.6,29.846,38.3,5,0,2
26.0,26.49,7.68,5.61,135.42,0.5,0.489,24.456,38.95,8,2,2
43.0,17.64,49.85,7.39,37.11,0.5,0.468,8.846,48.23,6,2,2
37.0,23.44,12.12,7.46,71.85,0.5,0.604,20.599,45.26,7,3,2
54.0,29.95,6.67,6.41,56.4,0.5,0.604,27.952,32.4,7,3,1
41.0,20.16,22.69,6.24,24.94,0.5,0.517,15.586,53.61,0,3,2
66.0,17.08,28.5,6.17,24.44,0.5,0.517,12.212,28.75,0,3,1
4.0,15.86,27.83,5.52,110.43,0.5,0.446,11.446,67.54,4,2,3
51.0,31.38,7.72,6.91,142.86,0.5,0.69,28.957,12.46,1,3,1
25.0,34.71,5.41,6.63,87.93,0.5,0.489,32.832,52.67,3,2,3
67.0,34.45,1.93,7.37,61.91,0.5,0.55,33.785,17.79,6,0,1
4.0,31.27,9.33,6.29,84.24,0.5,0.517,28.353,74.73,0,3,4
23.0,21.74,18.32,6.12,22.69,0.5,0.51,17.757,72.2,5,2,3
56.0,26.62,3.91,7.3,42.96,0.5,0.575,25.579,33.93,3,0,1
54.0,29.96,4.36,6.11,90.95,0.5,0.446,28.654,22.76,7,2,1
60.0,16.64,31.54,7.32,188.64,0.5,0.46,11.392,0.0,8,1,1
57.0,23.65,16.53,6.16,57.05,0.5,0.69,19.741,29.44,5,3,1
48.0,33.75,3.32,5.46,182.27,0.5,0.517,32.63,4.47,0,3,1
29.0,33.42,6.86,6.65,156.15,0.5,0.525,31.127,30.49,2,0,2
63.0,24.92,11.45,6.32,66.06,0.5,0.45,22.067,20.43,0,0,1
34.0,22.86,18.97,4.56,98.01,0.5,0.69,18.523,41.47,5,3,2
84.0,21.04,20.38,6.38,21.75,0.5,0.661,16.752,11.83,3,3,0
8.0,25.92,10.39,5.74,112.19,0.5,0.55,23.227,63.32,6,0,3
8.0,33.63,1.68,7.18,67.83,0.5,0.42,33.065,74.88,4,1,4
41.0,30.55,5.78,8.15,32.05,0.5,0.42,28.784,51.47,7,1,2
11.0,18.94,21.5,6.13,97.45,0.5,0.632,14.868,64.48,6,3,3
16.0,20.94,21.34,5.59,129.34,0.5,0.525,16.471,50.67,2,0,3
9.0,26.84,7.11,6.14,199.88,0.5,0.6,24.932,38.96,1,0,2
52.0,34.76,3.12,6.39,88.51,0.5,0.525,33.675,25.6,2,0,1
33.0,18.27,14.82,5.69,151.08,0.5,0.661,15.562,28.19,3,3,1
24.0,30.56,3.43,5.73,110.71,0.5,0.6,29.512,47.84,1,0,2
4.0,31.55,7.35,6.39,186.17,0.5,0.48,29.231,47.33,1,1,2
60.0,28.39,2.53,6.41,53.47,0.5,0.632,27.672,27.26,6,3,1
66.0,17.62,18.55,5.78,106.36,0.5,0.36,14.351,6.41,0,1,0
7.0,22.12,18.52,7.79,55.22,0.5,0.46,18.023,79.36,8,1,4
5.0,21.18,14.57,6.56,36.12,0.5,0.661,18.094,86.98,8,3,4
20.0,27.97,8.97,5.88,53.39,0.5,0.45,25.461,66.82,0,0,3
77.0,34.73,2.86,6.92,79.93,0.5,0.446,33.737,2.71,7,2,0
80.0,28.02,8.84,5.88,103.05,0.5,0.48,25.543,0.0,5,1,0
72.0,17.84,18.75,5.54,67.24,0.5,0.48,14.495,11.19,1,1,0
79.0,34.0,3.35,5.61,129.2,0.5,0.575,32.861,0.0,8,0,0
2.0,36.83,3.85,5.83,67.97,0.5,0.6,35.412,81.29,1,0,4
88.0,35.13,2.58,6.42,70.23,0.5,0.489,34.224,0.0,8,2,0
89.0,20.19,25.8,7.49,164.5,0.5,0.48,14.981,0.0,5,1,0
65.0,27.35,6.02,6.73,115.57,0.5,0.525,25.704,5.36,2,0,0
78.0,20.38,23.93,7.03,151.49,0.5,0.525,15.503,0.0,4,0,0
68.0,19.19,22.67,6.16,218.92,0.5,0.69,14.84,0.0,1,3,0
88.0,20.19,43.67,7.5,250.08,0.5,0.69,11.373,0.0,5,3,0
2.0,22.53,16.66,5.81,112.9,0.5,0.661,18.777,69.41,3,3,3
24.0,22.74,18.14,6.41,148.7,0.5,0.468,18.615,37.34,6,2,2
48.0,14.86,33.3,6.07,152.98,0.5,0.42,9.912,12.07,2,1,1
72.0,29.6,5.35,6.33,209.54,0.5,0.575,28.016,0.0,3,0,0
24.0,25.49,10.5,4.52,38.49,0.5,0.604,22.814,67.2,4,3,3
38.0,26.52,5.11,7.79,118.33,0.5,0.632,25.165,31.89,6,3,2
41.0,23.93,12.5,6.83,104.68,0.5,0.46,20.939,32.11,3,1,2
90.0,37.17,3.38,5.87,107.32,0.5,0.42,35.914,0.0,4,1,0
18.0,25.66,8.9,6.69,70.97,0.5,0.36,23.376,63.89,0,1,3
18.0,17.4,22.62,6.89,108.55,0.5,0.661,13.464,54.58,3,3,3
42.0,30.47,5.78,7.06,110.09,0.5,0.446,28.709,29.63,7,2,1
64.0,18.01,16.13,6.11,112.46,0.5,0.525,15.105,7.19,4,0,1
66.0,19.24,28.77,6.22,283.93,0.5,0.42,13.705,0.0,4,1,0
67.0,18.96,20.93,7.01,52.6,0.5,0.42,14.992,19.96,2,1,1
50.0,25.58,8.16,6.36,150.2,0.5,0.55,23.493,11.14,6,0,1
45.0,18.49,36.98,6.55,35.03,0.5,0.525,11.652,46.93,4,0,2
88.0,32.59,2.07,7.24,62.31,0.5,0.48,31.915,0.0,1,1,0
36.0,17.37,20.2,6.62,40.12,0.5,0.468,13.861,54.42,6,2,2
32.0,25.65,16.05,7.1,80.11,0.5,0.45,21.533,47.67,0,0,2
3.0,17.88,17.58,6.73,111.28,0.5,0.489,14.737,68.42,8,2,3
40.0,21.66,25.72,6.24,240.08,0.5,0.44,16.089,0.0,6,1,1
48.0,19.69,11.91,6.71,234.5,0.5,0.69,17.345,0.0,5,3,1
28.0,33.31,1.63,6.69,62.3,0.5,0.525,32.767,56.62,4,0,3
84.0,18.81,24.45,6.35,223.37,0.5,0.48,14.211,0.0,1,1,0
38.0,25.1,12.22,5.82,84.06,0.5,0.632,22.033,41.06,6,3,2
43.0,23.56,9.87,5.58,218.08,0.5,0.6,21.235,0.09,5,0,1
45.0,18.72,25.4,5.76,195.36,0.5,0.604,13.965,4.18,4,3,1
47.0,19.12,25.23,5.83,116.73,0.5,0.46,14.296,22.88,8,1,1
60.0,29.78,6.35,7.08,103.6,0.5,0.69,27.889,13.97,1,3,1
7.0,31.4,2.04,7.82,112.98,0.5,0.36,30.759,63.64,0,1,3
63.0,30.25,6.07,6.51,54.6,0.5,0.46,28.414,23.52,3,1,1
72.0,15.8,20.02,5.65,71.43,0.5,0.69,12.637,10.59,5,3,0
74.0,25.54,10.24,9.39,65.08,0.5,0.604,22.925,10.08,4,3,0
12.0,19.17,29.56,7.12,217.38,0.5,0.46,13.503,30.92,8,1,2
26.0,29.64,5.34,6.07,195.41,0.5,0.525,28.057,22.97,4,0,1
19.0,16.59,20.48,6.32,58.0,0.5,0.42,13.192,66.52,4,1,3
83.0,27.89,9.32,6.84,105.69,0.5,0.383,25.291,0.0,0,2,0
81.0,22.62,16.29,6.16,20.89,0.5,0.632,18.935,14.99,6,3,0
47.0,36.39,4.66,5.72,76.73,0.5,0.446,34.694,33.56,2,2,2
12.0,19.16,15.18,6.37,209.85,0.5,0.36,16.252,32.69,0,1,2
80.0,29.8,5.9,6.97,36.94,0.5,0.661,28.042,11.76,8,3,0
27.0,29.82,10.43,6.2,63.72,0.5,0.69,26.71,57.66,5,3,3
82.0,29.65,7.26,5.27,108.63,0.5,0.55,27.497,0.0,6,0,0
25.0,34.92,2.9,6.88,98.74,0.5,0.661,33.907,50.21,8,3,3
90.0,30.87,5.45,5.78,106.13,0.5,0.55,29.188,0.0,6,0,0
76.0,17.08,28.63,6.57,22.26,0.5,0.632,12.19,19.62,6,3,1
19.0,29.15,7.82,5.7,110.58,0.5,0.55,26.87,52.76,6,0,3
40.0,27.83,7.06,6.14,141.32,0.5,0.6,25.865,23.65,5,0,1
56.0,23.81,15.44,5.86,90.65,0.5,0.632,20.134,21.3,6,3,1
47.0,33.44,3.6,6.58,70.18,0.5,0.517,32.236,35.5,0,3,2
44.0,18.0,16.48,7.2,109.87,0.5,0.55,15.034,27.95,6,0,1
46.0,28.18,2.53,7.84,50.89,0.5,0.42,27.467,41.42,7,1,2
19.0,29.15,7.82,5.7,110.58,0.5,0.446,26.87,52.5,4,2,3
83.0,15.4,27.84,5.82,117.73,0.5,0.6,11.113,0.0,1,0,0
63.0,21.09,23.35,5.58,257.03,0.5,0.575,16.165,0.0,3,0,1
85.0,25.44,12.96,6.04,191.4,0.5,0.632,22.143,0.0,6,3,0
52.0,26.06,8.85,6.82,59.84,0.5,0.48,23.754,33.17,1,1,1
85.0,29.08,2.76,7.49,46.8,0.5,0.48,28.277,3.66,5,1,0
7.0,18.72,19.09,7.13,108.48,0.5,0.48,15.146,65.14,5,1,3
8.0,18.24,28.95,5.53,135.34,0.5,0.69,12.96,57.47,1,3,3
72.0,15.8,20.02,5.65,71.43,0.5,0.383,12.637,9.82,0,2,0
30.0,31.38,3.64,7.45,71.89,0.5,0.446,30.238,51.86,7,2,3
64.0,15.02,28.05,5.7,108.34,0.5,0.48,10.807,8.18,5,1,1
83.0,16.62,30.59,6.55,23.29,0.5,0.525,11.536,12.08,2,0,0
77.0,27.3,9.03,5.27,163.73,0.5,0.46,24.835,0.0,8,1,0
57.0,17.74,22.91,6.18,105.65,0.5,0.604,13.676,16.21,7,3,1
2.0,21.17,16.66,6.83,97.55,0.5,0.525,17.643,73.18,4,0,4
33.0,19.12,24.22,6.13,23.5,0.5,0.489,14.489,61.93,3,2,3
20.0,21.62,16.99,7.77,63.88,0.5,0.525,17.947,64.2,2,0,3
34.0,22.08,19.08,8.06,40.83,0.5,0.69,17.867,56.79,5,3,3
7.0,30.7,4.64,6.01,221.23,0.5,0.446,29.276,34.86,7,2,2
74.0,33.55,3.34,4.76,159.89,0.5,0.383,32.429,0.0,0,2,0
15.0,32.82,0.85,6.51,69.46,0.5,0.575,32.541,67.83,8,0,3
44.0,24.92,8.8,5.62,156.77,0.5,0.446,22.727,15.12,2,2,1
5.0,20.12,23.38,5.51,107.69,0.5,0.604,15.416,67.66,2,3,3
25.0,31.16,4.14,5.87,118.67,0.5,0.383,29.87,44.17,0,2,2
68.0,35.15,4.17,6.53,62.91,0.5,0.48,33.684,16.35,1,1,1
53.0,33.11,2.53,7.55,64.56,0.5,0.42,32.272,30.76,2,1,1
6.0,18.16,19.62,5.65,69.63,0.5,0.383,14.597,76.31,0,2,4
90.0,20.43,22.04,6.44,26.52,0.5,0.48,15.927,4.1,5,1,0
64.0,28.67,7.16,6.65,54.77,0.5,0.525,26.617,22.64,7,0,1
19.0,24.52,6.29,6.99,105.88,0.5,0.575,22.978,54.08,8,0,3
28.0,28.06,8.02,5.86,71.03,0.5,0.575,25.81,54.41,3,0,3
28.0,30.13,5.22,7.98,81.2,0.5,0.46,28.557,51.4,3,1,3
12.0,28.17,7.72,6.44,69.92,0.5,0.661,25.995,70.92,3,3,4
42.0,33.54,6.92,6.99,175.37,0.5,0.489,31.219,12.25,3,2,1
58.0,25.04,9.99,6.75,47.46,0.5,0.69,22.539,31.01,1,3,1
86.0,22.48,18.02,5.96,64.03,0.5,0.525,18.429,0.0,7,0,0
80.0,25.6,9.97,7.66,55.05,0.5,0.525,23.048,6.57,7,0,0
20.0,27.97,8.97,5.88,53.39,0.5,0.468,25.461,66.87,6,2,3
4.0,29.74,6.24,5.6,118.6,0.5,0.661,27.884,65.88,8,3,3
24.0,30.17,6.1,6.04,44.08,0.5,0.55,28.33,65.57,6,0,3
57.0,34.48,3.23,5.02,188.49,0.5,0.42,33.366,0.0,2,1,1
6.0,18.16,19.62,5.65,69.63,0.5,0.525,14.597,76.66,4,0,4
3.0,24.8,11.46,7.01,105.48,0.5,0.575,21.958,70.18,3,0,4
36.0,18.27,27.62,6.7,186.69,0.5,0.446,13.224,15.11,7,2,1
