Temperature,Humidity,Moisture,Soil_Type,Crop_Type,Nitrogen,Potassium,Phosphorous,Fertilizer_Name
31.62,67.47,37.72,Silt,Vegetables,34.61,50.71,43.61,Urea
30.41,55.84,39.51,Sandy,Maize,24.56,13.87,10.16,NPK 20-20-20
23.54,53.19,37.08,Sandy,Mustard,20.5,14.62,9.25,NPK 20-20-20
26.68,59.94,41.83,Alluvial,Mustard,53.39,29.64,52.26,Compost
31.1,52.19,57.95,Silt,Vegetables,67.11,43.67,39.94,Compost
29.27,60.32,33.83,Clay,Vegetables,64.85,51.32,55.57,Compost
33.83,57.95,49.34,Loamy,Mustard,70.85,34.84,28.65,Compost
27.69,55.33,60.58,Silt,Vegetables,36.67,27.86,28.96,Urea
31.77,55.87,56.52,Silt,Lentil,55.6,43.95,51.05,Compost
37.28,50.75,30.42,Sandy,Wheat,9.16,12.6,19.98,NPK 20-20-20
32.07,56.59,41.36,Alluvial,Wheat,71.21,41.04,53.93,Compost
37.06,63.38,44.21,Loamy,Wheat,71.68,30.32,39.01,Compost
32.77,59.35,45.33,Alluvial,Vegetables,70.02,66.33,52.34,Compost
22.76,63.32,38.46,Silt,Mustard,44.67,27.16,40.38,Compost
31.5,56.9,40.52,Clay,Vegetables,71.98,50.32,39.94,Compost
29.79,59.42,31.67,Silt,Vegetables,34.2,41.16,25.34,Urea
26.1,53.61,55.5,Silt,Wheat,78.58,34.36,25.79,Compost
28.89,50.84,48.3,Loamy,Mustard,61.03,48.93,30.42,Compost
30.79,54.27,52.33,Clay,Wheat,48.01,38.09,59.48,Compost
26.93,56.71,48.75,Loamy,Maize,79.75,42.69,38.12,Compost
24.17,59.51,40.39,Sandy,Rice,14.78,10.37,17.65,NPK 20-20-20
37.36,56.5,47.78,Loamy,Potato,57.08,31.8,42.77,Compost
32.1,55.46,42.24,Silt,Rice,41.76,16.78,52.96,MOP
26.48,57.86,42.99,Loamy,Lentil,60.89,27.63,42.46,Compost
26.23,55.04,41.19,Silt,Mustard,34.16,26.48,28.54,Urea
35.0,68.0,33.0,Red,Tobacco,11.0,0.0,37.0,DAP
30.04,56.46,38.51,Silt,Wheat,49.29,48.63,32.49,Compost
32.85,53.97,31.36,Clay,Mustard,79.87,40.73,31.91,Compost
36.92,55.78,34.49,Clay,Potato,64.84,57.89,36.58,Compost
29.54,55.48,35.1,Silt,Maize,76.37,40.79,37.56,Compost
33.78,45.27,31.55,Clay,Rice,56.1,38.27,45.39,Compost
35.26,50.81,47.36,Alluvial,Chickpea,68.4,65.26,63.76,Compost
23.33,67.47,45.53,Clay,Wheat,63.02,35.83,41.32,Compost
30.17,59.37,47.23,Clay,Mustard,57.2,42.32,59.96,Compost
34.74,63.22,25.8,Sandy,Lentil,29.16,16.1,19.89,NPK 20-20-20
26.89,59.75,26.63,Sandy,Maize,27.83,5.87,16.94,NPK 20-20-20
28.6,52.58,48.02,Loamy,Mustard,26.52,35.68,34.76,Urea
30.29,61.41,41.11,Sandy,Chickpea,14.49,12.67,19.41,NPK 20-20-20
27.91,59.07,40.69,Alluvial,Rice,73.53,69.68,49.94,Compost
28.5,72.64,54.41,Sandy,Vegetables,9.69,14.15,13.29,NPK 20-20-20
36.11,68.57,43.37,Loamy,Mustard,54.56,19.03,43.67,MOP
27.76,62.8,65.86,Alluvial,Mustard,62.23,68.79,41.09,Compost
36.68,54.11,40.63,Sandy,Rice,12.24,12.15,19.21,NPK 20-20-20
26.99,55.0,34.36,Sandy,Chickpea,13.61,6.85,19.84,NPK 20-20-20
38.16,51.72,48.5,Clay,Chickpea,61.35,38.95,26.1,Compost
24.78,61.43,34.87,Loamy,Rice,49.65,41.88,46.5,Compost
25.01,53.29,56.73,Sandy,Maize,28.08,17.15,19.14,NPK 20-20-20
33.51,64.29,24.28,Loamy,Vegetables,48.68,44.29,28.27,Compost
28.57,63.3,40.79,Clay,Vegetables,60.38,38.71,49.93,Compost
31.38,60.13,35.59,Clay,Mustard,72.03,30.54,41.56,Compost
35.69,49.16,41.38,Loamy,Maize,68.03,31.6,30.01,Compost
30.07,64.37,46.52,Alluvial,Vegetables,65.05,41.78,23.05,Compost
36.09,63.06,33.49,Silt,Lentil,79.15,38.97,22.03,Compost
29.5,60.89,42.79,Loamy,Lentil,77.84,35.82,34.22,Compost
33.82,66.77,31.78,Loamy,Rice,33.67,31.05,38.78,Urea
30.99,61.64,48.59,Silt,Mustard,45.47,49.65,36.74,Compost
32.6,67.26,35.53,Sandy,Lentil,25.97,13.75,18.95,NPK 20-20-20
30.74,66.02,70.75,Sandy,Soybean,37.58,13.74,8.5,NPK 20-20-20
32.87,60.34,51.58,Clay,Maize,62.01,47.8,37.19,Compost
36.07,51.8,54.33,Loamy,Potato,65.13,44.6,27.04,Compost
31.55,64.27,32.11,Loamy,Wheat,36.35,35.39,46.36,Urea
30.35,56.21,54.17,Sandy,Soybean,22.3,15.9,7.84,NPK 20-20-20
32.78,53.96,50.37,Clay,Rice,53.74,51.19,55.2,Compost
32.15,47.35,57.28,Loamy,Rice,65.23,45.16,38.0,Compost
32.64,68.26,64.19,Alluvial,Chickpea,78.42,57.84,43.51,Compost
33.89,61.4,45.6,Sandy,Mustard,0.0,8.61,22.36,MOP
26.98,55.47,50.24,Silt,Maize,63.8,22.9,28.02,Compost
27.99,58.92,37.86,Loamy,Vegetables,58.21,41.23,35.86,Compost
33.64,56.75,35.55,Silt,Vegetables,50.52,33.7,42.87,Compost
33.98,53.08,28.12,Silt,Potato,49.97,38.87,35.35,Compost
30.51,57.23,31.05,Alluvial,Soybean,65.47,61.69,54.88,Compost
29.77,55.25,56.1,Loamy,Chickpea,62.04,49.02,40.27,Compost
26.21,42.56,61.06,Sandy,Lentil,15.92,6.08,19.42,NPK 20-20-20
29.94,56.25,34.45,Alluvial,Vegetables,44.62,62.45,46.65,Compost
28.59,60.6,35.84,Silt,Wheat,53.11,46.41,38.64,Compost
31.68,58.13,39.72,Loamy,Mustard,56.91,29.92,36.46,Compost
33.08,63.86,20.32,Clay,Soybean,67.47,48.96,61.9,Compost
26.7,56.69,58.52,Silt,Maize,31.63,21.82,35.18,Urea
31.98,53.94,27.68,Sandy,Rice,18.06,8.91,7.96,NPK 20-20-20
31.13,60.46,36.7,Silt,Wheat,23.09,38.56,32.66,Urea
28.29,68.39,63.13,Clay,Wheat,62.76,47.04,51.65,Compost
28.06,60.45,50.45,Sandy,Maize,26.5,6.39,20.29,MOP
32.1,59.81,18.54,Silt,Wheat,65.61,34.66,29.92,Compost
33.06,54.18,53.67,Clay,Potato,62.45,40.35,44.2,Compost
26.98,60.28,55.19,Sandy,Maize,35.2,18.49,13.22,NPK 20-20-20
26.71,47.13,57.17,Alluvial,Vegetables,50.55,59.98,45.53,Compost
25.98,65.61,38.18,Loamy,Lentil,63.62,41.87,43.41,Compost
27.3,59.94,49.7,Clay,Soybean,59.12,49.5,35.78,Compost
33.0,64.0,50.0,Loamy,Wheat,41.0,0.0,0.0,Urea
31.31,56.97,12.29,Sandy,Soybean,36.69,5.41,0.84,NPK 20-20-20
18.47,56.01,37.61,Loamy,Mustard,63.36,53.79,37.11,Compost
29.34,53.78,49.77,Alluvial,Potato,61.17,53.84,65.02,Compost
35.6,61.93,21.46,Silt,Maize,42.61,40.98,44.15,Compost
29.61,68.6,34.18,Sandy,Maize,30.82,10.55,20.7,MOP
28.47,68.0,56.12,Silt,Vegetables,50.47,43.44,49.43,Compost
28.54,52.8,39.93,Sandy,Mustard,12.59,21.48,10.86,DAP
33.56,52.31,43.16,Alluvial,Maize,61.62,55.79,35.35,Compost
34.92,59.9,33.05,Alluvial,Mustard,68.74,48.83,34.01,Compost
32.03,56.03,71.49,Alluvial,Maize,63.24,57.54,45.55,Compost
31.29,63.7,31.13,Sandy,Potato,28.97,12.46,10.34,NPK 20-20-20
31.6,60.62,35.66,Clay,Wheat,41.53,46.8,48.07,Compost
29.03,49.55,51.91,Sandy,Wheat,30.66,15.17,12.32,NPK 20-20-20
29.38,60.82,20.92,Clay,Potato,57.04,35.09,33.46,Compost
30.44,64.76,46.47,Loamy,Lentil,68.58,40.29,44.39,Compost
31.08,69.0,44.99,Loamy,Vegetables,53.33,50.65,39.66,Compost
28.25,56.72,29.56,Loamy,Mustard,61.42,49.56,38.76,Compost
27.34,61.9,45.35,Loamy,Lentil,51.83,40.16,36.95,Compost
39.03,61.41,41.12,Sandy,Mustard,15.15,9.06,19.79,NPK 20-20-20
32.48,63.94,52.97,Alluvial,Vegetables,59.66,54.58,51.02,Compost
29.99,61.36,62.4,Alluvial,Vegetables,57.87,46.16,62.65,Compost
32.55,59.39,31.39,Sandy,Soybean,15.59,19.42,6.8,NPK 20-20-20
34.38,58.86,25.84,Silt,Lentil,45.7,37.31,39.8,Compost
33.65,50.95,54.05,Silt,Mustard,56.84,37.77,41.05,Compost
28.84,64.47,26.31,Sandy,Mustard,20.36,20.17,11.01,DAP
26.02,61.89,39.43,Alluvial,Chickpea,56.01,44.93,49.25,Compost
32.86,62.27,20.06,Silt,Wheat,33.96,51.12,52.41,Urea
29.46,63.51,38.61,Alluvial,Potato,69.01,48.8,55.7,Compost
34.08,61.09,32.06,Loamy,Vegetables,67.34,33.64,43.51,Compost
24.3,62.44,45.88,Loamy,Potato,64.19,51.71,55.56,Compost
28.04,65.0,44.85,Silt,Rice,50.3,47.18,44.88,Compost
33.84,57.18,42.58,Clay,Potato,69.55,59.09,34.63,Compost
30.21,61.03,53.28,Silt,Chickpea,60.25,34.66,44.96,Compost
33.3,57.69,57.63,Sandy,Soybean,20.28,20.74,13.08,DAP
29.41,62.57,52.89,Sandy,Soybean,19.38,14.89,19.34,NPK 20-20-20
29.88,58.55,61.25,Clay,Potato,64.44,50.25,61.29,Compost
29.03,53.06,37.78,Silt,Soybean,53.87,44.49,48.42,Compost
29.08,61.74,35.85,Clay,Soybean,66.66,52.31,45.72,Compost
29.75,59.26,37.65,Silt,Lentil,47.76,46.62,44.94,Compost
25.67,52.74,52.88,Sandy,Potato,32.42,8.9,19.5,NPK 20-20-20
31.35,51.25,34.09,Alluvial,Rice,73.74,26.02,41.36,Compost
36.03,57.75,46.93,Clay,Potato,46.8,50.48,40.2,Compost
31.32,54.6,39.3,Clay,Lentil,68.17,40.99,46.28,Compost
26.65,61.68,46.44,Alluvial,Maize,41.72,52.32,50.6,Compost
30.88,57.07,44.18,Loamy,Vegetables,58.26,52.75,41.3,Compost
34.23,54.2,53.25,Alluvial,Mustard,80.02,43.25,50.66,Compost
27.61,60.96,40.77,Clay,Potato,56.46,44.46,43.38,Compost
23.86,66.29,54.52,Loamy,Maize,43.1,37.2,49.44,Compost
30.73,59.77,11.49,Alluvial,Wheat,68.49,48.14,46.81,Compost
28.11,54.85,39.26,Sandy,Vegetables,18.78,16.34,0.2,NPK 20-20-20
29.1,59.11,57.43,Loamy,Lentil,47.78,33.45,46.48,Compost
33.97,57.52,49.35,Sandy,Mustard,23.01,13.12,12.02,NPK 20-20-20
27.59,63.46,56.58,Clay,Vegetables,57.85,42.95,56.42,Compost
29.97,58.71,44.66,Loamy,Mustard,45.2,39.12,25.96,Compost
33.8,61.02,45.8,Sandy,Maize,15.47,17.95,12.09,NPK 20-20-20
30.73,53.85,43.47,Sandy,Mustard,15.61,15.45,19.49,NPK 20-20-20
33.33,60.44,39.39,Loamy,Lentil,53.71,59.33,18.47,Compost
30.48,53.02,34.3,Clay,Rice,55.32,80.54,38.67,Compost
28.85,61.6,35.17,Clay,Chickpea,55.63,31.25,48.21,Compost
31.85,51.29,66.11,Loamy,Maize,42.53,50.2,26.75,Compost
28.69,53.28,39.26,Silt,Potato,31.79,33.31,29.77,Urea
27.82,66.64,56.46,Loamy,Vegetables,63.75,54.07,37.14,Compost
29.01,65.11,51.57,Alluvial,Maize,83.03,59.94,52.66,Compost
28.35,58.03,49.23,Clay,Vegetables,74.88,59.91,48.06,Compost
34.34,61.13,60.73,Clay,Chickpea,64.18,58.26,33.35,Compost
25.83,51.82,35.75,Clay,Mustard,59.58,47.11,47.22,Compost
24.44,71.83,49.49,Alluvial,Lentil,83.76,48.08,38.59,Compost
34.98,58.02,70.25,Clay,Mustard,53.73,42.02,60.56,Compost
32.65,42.99,47.56,Loamy,Rice,60.73,53.22,39.1,Compost
30.18,59.94,42.11,Loamy,Potato,48.71,47.95,39.25,Compost
33.14,59.62,37.98,Alluvial,Soybean,74.48,63.05,58.15,Compost
35.11,54.37,46.99,Sandy,Soybean,2.74,12.68,25.16,MOP
34.13,62.35,49.55,Sandy,Chickpea,14.77,22.59,15.26,DAP
26.07,56.46,57.23,Sandy,Chickpea,31.2,17.01,14.06,NPK 20-20-20
29.0,58.66,45.74,Clay,Chickpea,65.38,37.58,37.4,Compost
27.97,52.82,40.27,Alluvial,Mustard,72.12,55.88,51.47,Compost
27.85,57.24,67.67,Sandy,Potato,23.87,8.88,27.33,MOP
32.5,51.34,51.93,Loamy,Rice,58.17,50.11,43.97,Compost
26.23,58.33,33.23,Loamy,Lentil,59.33,32.63,31.19,Compost
32.34,62.97,41.72,Silt,Mustard,60.75,48.49,33.38,Compost
29.04,49.63,32.93,Sandy,Potato,27.05,7.56,16.3,NPK 20-20-20
34.61,58.32,35.79,Loamy,Rice,50.79,44.53,39.1,Compost
29.57,55.55,49.29,Loamy,Wheat,43.36,34.55,28.19,Compost
31.02,61.05,45.8,Alluvial,Maize,74.02,57.08,68.56,Compost
36.6,51.74,47.01,Sandy,Vegetables,24.39,9.79,18.68,NPK 20-20-20
29.05,65.29,45.73,Loamy,Mustard,65.94,42.09,38.66,Compost
31.79,57.38,24.66,Sandy,Rice,24.66,6.06,12.26,NPK 20-20-20
29.19,63.88,53.47,Clay,Rice,64.93,53.87,51.55,Compost
26.77,70.98,51.86,Sandy,Rice,13.77,13.18,7.62,NPK 20-20-20
33.46,58.52,38.11,Loamy,Wheat,68.26,53.54,46.34,Compost
30.33,59.39,44.04,Loamy,Lentil,48.79,34.89,49.24,Compost
31.75,53.42,49.28,Silt,Mustard,49.85,44.93,50.29,Compost
32.0,62.0,34.0,Red,Ground Nuts,15.0,0.0,37.0,DAP
28.78,51.92,53.68,Alluvial,Rice,60.2,41.3,42.62,Compost
34.18,58.91,36.04,Clay,Wheat,67.55,21.09,35.32,Compost
25.44,63.98,46.3,Loamy,Rice,56.35,37.79,20.68,Compost
31.52,57.98,35.3,Sandy,Potato,19.03,15.93,2.55,NPK 20-20-20
31.11,60.04,57.04,Clay,Rice,65.36,43.29,43.72,Compost
26.59,58.61,48.73,Alluvial,Potato,52.16,52.23,62.24,Compost
29.76,59.89,38.96,Clay,Chickpea,61.74,45.08,44.03,Compost
29.94,60.02,52.82,Alluvial,Lentil,61.58,53.85,45.03,Compost
23.7,60.62,42.95,Sandy,Vegetables,10.87,16.06,13.54,NPK 20-20-20
33.34,60.79,30.1,Loamy,Potato,40.7,41.01,33.27,Compost
25.55,59.41,34.61,Loamy,Potato,61.34,37.78,46.03,Compost
36.97,70.84,38.82,Alluvial,Maize,81.41,35.81,59.54,Compost
31.31,63.09,30.81,Silt,Chickpea,53.12,35.96,29.01,Compost
29.37,56.95,46.16,Silt,Lentil,44.81,40.49,38.35,Compost
31.54,68.25,40.92,Loamy,Soybean,52.38,52.11,42.34,Compost
32.28,56.66,32.36,Loamy,Wheat,45.2,38.54,28.93,Compost
32.7,67.87,43.89,Sandy,Wheat,24.51,13.3,9.61,NPK 20-20-20
